Box no.,Total APs
d0:13:fd:4f:83:ba,1,"05/08/2018,"
d8:55:a3:61:d3:b8,1,"05/08/2018,"
e0:8e:3c:21:5f:d3,1,"05/08/2018,"
88:d2:74:86:ac:a3,1,"05/08/2018,"
00:1a:ef:46:cd:2c,1,"05/08/2018,"
40:a5:ef:62:12:92,1,"05/08/2018,"
c2:38:96:7c:ab:0d,1,"05/08/2018,"
0c:d6:bd:5d:52:ca,1,"05/08/2018,"
e0:8e:3c:1a:b2:37,1,"05/08/2018,"
bc:c0:0f:d4:47:00,1,"05/08/2018,"
b0:ee:7b:d8:4c:35,1,"05/08/2018,"
74:cc:39:c9:c6:30,1,"05/08/2018,"
""
Box no.,Total APs
74,29
MAC,Persistence,Dates Seen
e0:8e:3c:2f:1d:e5,2,"05/08/2018,"
d0:13:fd:4f:83:ba,3,"05/08/2018,"
b0:4e:26:f8:a7:46,1,"05/08/2018,"
94:a7:b7:26:4e:1c,3,"05/08/2018,"
74:cc:39:c9:c6:30,3,"05/08/2018,"
00:1a:ef:46:ca:f0,2,"05/08/2018,"
54:22:f8:f1:1f:ac,2,"05/08/2018,"
e4:8d:8c:de:76:1e,2,"05/08/2018,"
38:d8:2f:2b:fe:4c,2,"05/08/2018,"
cc:06:77:e4:00:c0,2,"05/08/2018,"
70:4f:57:45:14:3f,2,"05/08/2018,"
74:cc:39:8c:4a:c8,1,"05/08/2018,"
10:c3:7b:c8:52:20,2,"05/08/2018,"
74:cc:39:ba:ca:18,1,"05/08/2018,"
e0:8e:3c:2f:54:91,2,"05/08/2018,"
30:b5:c2:48:0e:a6,2,"05/08/2018,"
e0:8e:3c:2d:fb:85,1,"05/08/2018,"
cc:06:77:b3:d6:70,2,"05/08/2018,"
cc:06:77:e2:56:c0,1,"05/08/2018,"
40:cb:a8:8c:b4:42,1,"05/08/2018,"
d8:55:a3:61:d3:b8,1,"05/08/2018,"
e0:8e:3c:1f:db:5f,1,"05/08/2018,"
00:1a:ef:46:ca:8c,1,"05/08/2018,"
cc:06:77:b4:16:78,1,"05/08/2018,"
88:d2:74:86:cd:36,1,"05/08/2018,"
9c:6f:52:35:1c:b4,1,"05/08/2018,"
5c:a8:6a:82:1b:04,1,"05/08/2018,"
00:e0:20:29:69:db,1,"05/08/2018,"
f0:8c:fb:80:57:00,3,"05/08/2018, 05/10/2018,"
""
Box no.,Total APs
75,39
MAC,Persistence,Dates Seen
cc:06:77:b3:d6:70,3,"05/08/2018, 05/10/2018,"
40:cb:a8:8c:b4:42,3,"05/08/2018, 05/10/2018,"
cc:06:77:e2:56:c0,3,"05/08/2018, 05/10/2018,"
d0:13:fd:4f:83:ba,2,"05/08/2018,"
80:3f:5d:c2:67:52,2,"05/08/2018,"
14:60:80:99:41:90,2,"05/08/2018, 05/10/2018,"
e4:77:23:a6:33:7c,3,"05/08/2018, 05/10/2018,"
36:69:87:0e:dc:28,2,"05/08/2018,"
28:ff:3e:3d:db:b5,2,"05/08/2018,"
74:4a:a4:f0:8f:e7,2,"05/08/2018,"
cc:06:77:b4:16:78,2,"05/08/2018, 05/10/2018,"
70:9f:2d:a0:d1:54,2,"05/08/2018,"
e0:8e:3c:2f:75:49,3,"05/08/2018, 05/10/2018,"
9c:6f:52:35:1c:b4,3,"05/08/2018, 05/10/2018,"
f0:8c:fb:80:3b:c8,2,"05/08/2018,"
38:d8:2f:2b:fe:4c,2,"05/08/2018,"
4c:54:99:11:4f:41,3,"05/08/2018, 05/10/2018,"
cc:06:77:d7:df:58,1,"05/08/2018,"
e4:7d:eb:02:f5:22,1,"05/08/2018,"
74:cc:39:8c:4a:c8,2,"05/08/2018,"
