First Seen,MAC,SSID,Encryption,RSSI,Channel,Latitude,Longitude
2018-05-15 19:59:02,e0:8e:3c:2f:8c:5d,CRISMIKE_WIFI,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-62,1,14.70642182,121.09678915
2018-05-15 20:06:46,cc:06:77:b4:16:78,bilikawifimo,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-50,1,14.70584164,121.09584762
2018-05-15 19:58:43,f0:8c:fb:81:5c:d0,PLDTHOMEFIBR_815cd0,[WPA2-PSK-CCMP][ESS],-83,4,14.70633143,121.09728494
2018-05-15 19:59:02,cc:06:77:e2:7b:14,PLDTHOMEFIBR5G27b10,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-80,36,14.70642182,121.09678915
2018-05-15 19:59:02,cc:06:77:e2:7b:10,PLDTHOMEFIBR27b10,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-78,5,14.70642182,121.09678915
2018-05-15 19:59:02,e0:8e:3c:2e:10:21,bayanDSLWIFI_1021,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-86,1,14.70642182,121.09678915
2018-05-15 19:59:02,5c:f2:86:21:ec:a3,WHENG,[WPA2-PSK-CCMP][WPS][ESS],-86,10,14.70642182,121.09678915
2018-05-15 19:59:02,02:1a:11:f9:a9:d2,BKbx-Y2VsYnJpb25lczY1NA,[ESS],-81,6,14.70642182,121.09678915
2018-05-15 19:59:20,8c:eb:c6:93:2a:1b,B315_32A1B,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],-72,11,14.70659871,121.09645602
2018-05-15 20:12:46,51502_20212_53149,Globe,EDGE;ph,-75,0,14.70299884,121.09606066
2018-05-15 19:59:02,cc:06:77:5b:cc:70,PLDTHOMEFIBRbcc70,[WPA-PSK-TKIP][WPA2-PSK-CCMP][ESS],-65,1,14.70642182,121.09678915
2018-05-15 19:59:02,d0:04:92:01:a2:68,PLDTHOMEFIBRNapinakapetmalu,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-85,10,14.70642182,121.09678915
