SSID,Net ID,TriLat,TriLong,Encryption,Type,Trans ID,First Time,Last Time,Last Updt
DOTCHIMON,00:1D:73:8D:16:CF,14.64195442,121.06047058,wpa2,infra,20131130-00000,"2013-11-30, 09:00:00 PM","2013-11-30, 09:00:00 AM","2013-11-30, 07:00:00 AM"
gel s. rosimo,9E:A9:E4:D8:C2:1F,14.64531612,121.06000519,wpa2,infra,20150216-00000,"2015-02-13, 07:00:00 PM","2015-02-16, 02:00:00 PM","2015-07-26, 08:00:00 AM"
Janet,6E:5F:1C:84:75:88,14.64696312,121.06010437,wpa2,infra,20150216-00000,"2015-02-12, 12:00:00 AM","2015-02-16, 02:00:00 PM","2015-07-26, 08:00:00 AM"
searching...,7C:11:CB:6F:09:09,14.64614964,121.06024933,wpa2,infra,20170729-00000,"2017-07-17, 03:00:00 AM","2017-07-29, 09:00:00 PM","2017-07-29, 09:00:00 PM"
joier,7C:46:85:5B:A6:65,14.6467638,121.06084442,wpa2,infra,20170715-00000,"2017-07-16, 12:00:00 AM","2017-07-15, 09:00:00 AM","2017-07-15, 09:00:00 AM"
bayanDSLWiFi_6BFC,CC:7B:35:CF:6B:FC,14.64659786,121.05883789,wpa2,infra,20160227-00000,"2016-02-28, 04:00:00 AM","2017-03-03, 12:00:00 PM","2017-03-03, 12:00:00 PM"
montallana,80:1F:02:A4:DC:BC,14.64682865,121.05831146,wpa2,infra,20130506-00000,"2013-05-04, 06:00:00 AM","2014-05-09, 01:00:00 PM","2015-07-26, 08:00:00 AM"
bartok,CC:96:A0:97:E3:BA,14.64670658,121.05943298,wpa2,infra,20130207-00000,"2013-02-08, 06:00:00 AM","2013-03-23, 02:00:00 AM","2013-03-23, 12:00:00 AM"
babuboom,78:E8:B6:B4:22:1E,14.64605045,121.06021881,wpa2,infra,20140213-00000,"2014-02-14, 12:00:00 AM","2015-01-22, 04:00:00 AM","2015-07-26, 08:00:00 AM"
PDLAW-2,C8:BE:19:6D:35:D7,14.64532375,121.06098938,wpa2,infra,20150726-00000,"2015-07-12, 02:00:00 AM","2015-07-26, 08:00:00 AM","2015-07-26, 08:00:00 AM"
simple&sassy,C8:B3:73:06:FD:96,14.64594173,121.05857086,wpa2,infra,20141230-00000,"2014-11-20, 02:00:00 AM","2015-07-26, 08:00:00 AM","2015-07-26, 08:00:00 AM"
Insert Coin,70:72:3C:92:CA:03,14.64540195,121.06097412,wpa2,infra,20150726-00000,"2015-04-27, 11:00:00 PM","2015-07-26, 08:00:00 AM","2015-07-26, 08:00:00 AM"
MobileWiFi-336,70:72:3C:E1:17:B5,14.64649773,121.0587616,wpa,infra,20130424-00000,"2013-04-23, 09:00:00 PM","2013-04-25, 07:00:00 AM","2013-04-25, 05:00:00 AM"
GBL Superstick,70:72:3C:CB:D1:3C,14.64683342,121.06027985,wep,infra,20160604-00000,"2016-05-28, 03:00:00 AM","2016-06-05, 12:00:00 AM","2016-06-05, 12:00:00 AM"
Gallifrey,C8:3A:35:3B:3B:38,14.64547634,121.06027222,wpa,infra,20150120-00000,"2015-01-11, 02:00:00 AM","2017-07-29, 09:00:00 PM","2017-07-29, 09:00:00 PM"
i<3tetil,70:AA:B2:D3:9A:62,14.64688492,121.05951691,wpa2,infra,20150120-00000,"2015-01-12, 03:00:00 AM","2015-01-22, 04:00:00 AM","2015-07-26, 08:00:00 AM"
Gemma Gabriel,72:81:EB:55:20:FA,14.64675045,121.05789948,wpa2,infra,20160907-00000,"2016-09-04, 05:00:00 AM","2016-09-08, 03:00:00 AM","2016-09-08, 03:00:00 AM"
dgb,D0:C1:B1:2F:2F:53,14.64702034,121.05728149,wpa2,infra,20130414-00000,"2013-04-14, 11:00:00 PM","2014-09-25, 11:00:00 AM","2015-07-26, 08:00:00 AM"
AndroidAP,68:05:71:5C:D5:08,14.64658356,121.06078339,wpa2,infra,20150726-00000,"2015-02-26, 04:00:00 AM","2015-07-26, 08:00:00 AM","2015-07-26, 08:00:00 AM"
BANAYAD OUTDOORS,D0:5B:A8:92:19:08,14.64677811,121.06002045,wpa2,infra,20160907-00000,"2016-09-04, 05:00:00 AM","2016-09-08, 03:00:00 AM","2016-09-08, 03:00:00 AM"
Mongol,68:7F:74:FE:01:6A,14.6461935,121.05795288,wpa2,infra,20131030-00000,"2013-10-20, 04:00:00 AM","2015-07-26, 08:00:00 AM","2015-07-26, 08:00:00 AM"
Ayoko nga,9C:A9:E4:72:18:14,14.64722729,121.05760193,wpa2,infra,20150120-00000,"2015-01-12, 03:00:00 AM","2015-01-22, 04:00:00 AM","2015-07-26, 08:00:00 AM"
casseus,9C:A9:E4:72:24:45,14.64621639,121.06000519,wpa2,infra,20140805-00000,"2014-08-06, 03:00:00 AM","2015-02-16, 02:00:00 PM","2015-07-26, 08:00:00 AM"
joan,9C:A9:E4:93:63:76,14.64696121,121.05817413,wpa2,infra,20150216-00000,"2015-02-11, 05:00:00 AM","2015-02-16, 02:00:00 PM","2015-07-26, 08:00:00 AM"
Royce,D2:B3:3F:60:62:51,14.64585876,121.06121826,wpa2,infra,20140817-00000,"2014-08-17, 02:00:00 AM","2014-08-17, 02:00:00 PM","2015-07-26, 08:00:00 AM"
MyPhone Wi-Fi hotspot,D2:B3:3F:7A:E4:A2,14.64497089,121.06126404,wpa2,infra,20140922-00000,"2001-01-01, 04:00:00 PM","2014-09-22, 04:00:00 PM","2015-07-26, 08:00:00 AM"
WIFI ko yan ha!,D2:B3:3F:E8:5F:51,14.64682865,121.05747986,wpa2,infra,20150726-00000,"2014-09-06, 10:00:00 PM","2015-07-26, 08:00:00 AM","2015-07-26, 08:00:00 AM"
Wiseguy,6C:8B:2F:5E:41:EC,14.6460619,121.06117249,wpa2,infra,20160227-00000,"2016-02-28, 04:00:00 AM","2016-02-27, 03:00:00 PM","2016-02-27, 03:00:00 PM"
Zyze_Wireless,6C:8B:2F:B8:7D:70,14.64678192,121.06047821,wpa2,infra,20141013-00000,"2014-10-11, 03:00:00 AM","2014-10-14, 01:00:00 AM","2015-07-26, 08:00:00 AM"
matriano_wifi,D0:7A:B5:0E:4D:97,14.64671421,121.05799103,wpa2,infra,20170609-00000,"2017-06-04, 02:00:00 AM","2017-06-09, 01:00:00 PM","2017-06-09, 01:00:00 PM"
AndroidAP,6C:2F:2C:8E:80:FC,14.64638042,121.05901337,wpa2,infra,20150216-00000,"2015-02-10, 01:00:00 AM","2015-02-16, 02:00:00 PM","2015-07-26, 08:00:00 AM"
Adrian?s iPhone,A2:EA:96:40:FD:F8,14.64523792,121.06060791,wpa2,infra,20140817-00000,"2014-08-17, 03:00:00 AM","2014-08-17, 02:00:00 PM","2015-07-26, 08:00:00 AM"
TheLostBread_GUEST,D0:17:C2:B0:17:10,14.64674664,121.05815887,wpa2,infra,20160907-00000,"2016-09-04, 05:00:00 AM","2017-07-29, 09:00:00 PM","2017-07-29, 09:00:00 PM"
