First Seen,MAC,SSID,Encryption,RSSI,Channel,Latitude,Longitude
2018-04-24 22:08:48,00:0b:86:f2:fa:a1,,[WPA-EAP-TKIP][ESS],-77,11,14.64408872,121.06106657
2018-04-24 22:09:16,00:0b:86:f2:fb:01,,[WPA-EAP-TKIP][ESS],-72,11,14.64380997,121.06106055
2018-04-24 22:09:52,c8:b5:ad:d2:19:40,MPW WI-FI,[WPA2-PSK-CCMP][ESS],-65,11,14.64350554,121.0610912
2018-04-24 22:09:52,c8:b5:ad:d2:19:51,MPW GUEST WI-FI,[ESS],-68,36,14.64350554,121.0610912
2018-04-24 22:09:16,e6:8d:8c:5a:8b:3b,Globo-Associates,[ESS],-73,6,14.64380997,121.06106055
2018-04-24 22:08:48,00:0b:86:f2:fa:a2,,[ESS],-77,11,14.64408872,121.06106657
2018-04-24 22:09:52,c8:b5:ad:d2:19:41,MPW GUEST WI-FI,[ESS],-65,11,14.64350554,121.0610912
2018-04-24 22:08:48,00:0b:86:f2:fa:a0,Bayan Guest,[ESS],-77,11,14.64408872,121.06106657
2018-04-24 22:08:42,bc:c0:0f:7b:74:e0,Los Otros,[WPA-PSK-CCMP][WPA2-PSK-CCMP][ESS],-81,8,14.64412285,121.06110743
2018-04-24 22:09:00,e6:8d:8c:8c:85:29,Globo-Associates,[ESS],-64,6,14.64395548,121.06107214
2018-04-24 22:09:56,c8:b5:ad:d2:1a:70,MPW WI-FI,[WPA2-PSK-CCMP][ESS],-74,36,14.64345315,121.0610922
2018-04-24 22:51:38,c4:ff:1f:57:8c:b4,HUAWEI-ej46,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-79,2,14.64427245,121.06073276
2018-04-24 22:09:56,c8:b5:ad:d2:1a:71,MPW GUEST WI-FI,[ESS],-75,36,14.64345315,121.0610922
2018-04-24 22:09:00,e6:8d:8c:8c:85:2c,,[WPA-EAP+PSK-CCMP+TKIP][WPA2-EAP+PSK-CCMP+TKIP][ESS],-69,6,14.64395548,121.06107214
2018-04-24 22:09:16,90:61:0c:3a:82:73,PLDTHOMEDSL33395,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP][ESS],-69,1,14.64380997,121.06106055
2018-04-24 22:09:00,e6:8d:8c:8c:85:2a,Globo-Guest,[ESS],-69,6,14.64395548,121.06107214
2018-04-24 22:08:52,e6:8d:8c:8c:85:2b,PCSO,[ESS],-72,6,14.64405824,121.06105662
