Total No. of APs,1365
Box no.,Total APs
0,121
MAC,Persistence,Dates Seen
e0:8e:3c:2f:3e:6d,5,"03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
cc:06:77:22:75:c0,3,"03/22/2018, 04/05/2018,"
60:02:92:32:98:5b,3,"03/22/2018, 04/02/2018, 04/03/2018,"
00:13:33:fe:e4:28,3,"03/22/2018, 04/02/2018, 04/03/2018,"
78:c1:a7:01:f8:b0,5,"03/22/2018, 04/02/2018, 04/03/2018, 04/05/2018,"
5c:54:6d:43:78:9c,2,"03/22/2018, 04/10/2018,"
94:46:96:19:2a:e3,3,"03/22/2018, 04/05/2018, 04/10/2018,"
9c:a9:e4:9a:e3:bf,4,"04/02/2018, 04/05/2018,"
90:61:0c:16:73:f9,4,"04/02/2018, 04/05/2018,"
00:13:33:d6:2b:cb,3,"04/02/2018, 04/05/2018,"
00:13:33:e1:c7:e9,1,"04/02/2018,"
00:13:33:e1:c7:ec,1,"04/02/2018,"
8c:eb:c6:ce:20:18,2,"04/02/2018, 04/10/2018,"
90:61:0c:2e:a7:39,2,"04/03/2018, 04/05/2018,"
bc:c0:0f:7b:d7:c0,3,"04/05/2018, 04/10/2018,"
84:16:f9:35:36:c2,1,"04/05/2018,"
00:19:be:81:32:e2,3,"04/05/2018, 04/10/2018,"
08:10:74:62:0f:1e,3,"04/05/2018, 04/10/2018,"
f4:e3:fb:e5:49:fc,1,"04/05/2018,"
c0:a0:bb:12:90:a4,2,"04/05/2018,"
cc:06:77:e1:80:f8,2,"04/05/2018,"
90:61:0c:3a:4b:6e,1,"04/05/2018,"
bc:3d:85:9a:c6:98,1,"04/05/2018,"
c0:21:0d:b3:51:50,1,"04/05/2018,"
cc:79:cf:f2:ef:a6,1,"04/05/2018,"
5c:f2:86:27:ef:55,1,"04/05/2018,"
00:26:75:e3:d1:40,1,"04/05/2018,"
00:22:6b:6f:b3:fd,1,"04/10/2018,"
""
Box no.,Total APs
10,65
MAC,Persistence,Dates Seen
34:97:f6:5d:3b:d8,6,"03/14/2018, 03/22/2018, 04/03/2018, 04/05/2018,"
1c:74:0d:17:57:88,4,"03/14/2018, 03/22/2018, 04/05/2018,"
f0:9f:c2:27:9d:b9,4,"03/14/2018, 04/03/2018, 04/05/2018,"
5c:6a:80:a3:6f:2b,4,"03/14/2018, 04/03/2018, 04/05/2018,"
c8:93:46:48:4c:7f,2,"03/14/2018, 03/22/2018,"
90:61:0c:2d:d3:09,10,"03/14/2018, 04/03/2018, 04/05/2018,"
cc:06:77:e1:80:f8,5,"03/14/2018, 04/03/2018, 04/05/2018,"
cc:06:77:21:70:80,5,"03/14/2018, 04/03/2018, 04/05/2018,"
90:61:0c:2d:88:5b,9,"03/14/2018, 04/03/2018, 04/05/2018,"
00:13:33:e1:7d:fc,8,"03/14/2018, 04/03/2018, 04/05/2018,"
14:ab:f0:4d:9d:80,2,"03/14/2018, 04/03/2018,"
00:13:33:db:90:5c,4,"03/14/2018, 04/03/2018, 04/05/2018,"
00:24:a5:d7:87:d3,1,"03/14/2018,"
78:c1:a7:03:9e:ec,3,"03/22/2018, 04/03/2018, 04/05/2018,"
48:f8:b3:0f:d9:65,5,"03/22/2018, 04/03/2018, 04/05/2018,"
f4:f2:6d:94:56:14,5,"03/22/2018, 04/03/2018, 04/05/2018,"
88:d2:74:86:cf:41,3,"03/22/2018, 04/05/2018,"
94:0e:6b:b8:df:00,1,"03/22/2018,"
c8:93:46:48:4c:43,5,"03/22/2018, 04/03/2018, 04/05/2018,"
c8:93:46:48:70:90,3,"03/22/2018, 04/03/2018,"
bc:c0:0f:7b:db:c0,2,"03/22/2018, 04/03/2018,"
60:31:97:dc:e7:f0,2,"03/22/2018, 04/03/2018,"
00:13:33:ea:7b:20,1,"03/22/2018,"
00:13:33:ea:7b:21,1,"03/22/2018,"
34:ba:9a:55:c5:b6,2,"03/22/2018, 04/05/2018,"
c8:93:46:48:50:5b,4,"04/03/2018, 04/05/2018,"
e4:7d:eb:0f:16:e7,7,"04/03/2018, 04/05/2018,"
02:9f:c2:27:9d:b9,4,"04/03/2018, 04/05/2018,"
c8:93:46:48:4c:ae,4,"04/03/2018,"
cc:06:77:23:21:b0,2,"04/03/2018,"
82:2a:a8:41:e9:d6,6,"04/03/2018, 04/05/2018,"
b0:4e:26:8b:f7:f6,2,"04/03/2018,"
f2:9f:c2:27:9d:b9,4,"04/03/2018, 04/05/2018,"
92:2a:a8:41:e9:d6,4,"04/03/2018, 04/05/2018,"
28:92:4a:14:9f:84,3,"04/03/2018, 04/05/2018,"
cc:06:77:6e:c9:98,1,"04/03/2018,"
fe:a6:67:54:8e:71,5,"04/03/2018, 04/05/2018,"
1a:74:2e:bc:c2:22,3,"04/03/2018, 04/05/2018,"
80:2a:a8:41:e9:d6,4,"04/03/2018, 04/05/2018,"
a4:2b:b0:d9:10:26,4,"04/03/2018, 04/05/2018,"
76:e4:3a:7a:e4:01,1,"04/03/2018,"
74:cc:39:86:00:88,1,"04/03/2018,"
c8:93:46:cc:21:da,1,"04/03/2018,"
36:69:87:a1:89:8f,1,"04/03/2018,"
f2:9f:c2:4f:fc:46,1,"04/03/2018,"
c8:93:46:47:ad:f2,4,"04/03/2018, 04/05/2018,"
00:19:be:81:32:e2,1,"04/03/2018,"
00:13:33:d3:4b:09,1,"04/03/2018,"
08:95:2a:89:35:37,1,"04/03/2018,"
28:e3:1f:5a:64:80,1,"04/03/2018,"
f4:e3:fb:e5:49:fc,1,"04/03/2018,"
8c:eb:c6:ce:20:18,1,"04/03/2018,"
cc:06:77:5c:bd:58,2,"04/03/2018,"
f2:c8:50:13:f4:c4,1,"04/03/2018,"
ec:9b:f3:61:a9:2f,1,"04/03/2018,"
